timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 2, 2026 @ 09:24:00.273","soc-cloud-victim-03","Successful sudo to ROOT executed.","3","5402"
"Jun 2, 2026 @ 09:24:00.273","soc-cloud-victim-03","PAM: Login session opened.","3","5501"
"Jun 2, 2026 @ 09:20:52.101","soc-cloud-victim-03","PAM: Login session closed.","3","5502"
"Jun 2, 2026 @ 09:20:52.077","soc-cloud-victim-03","Successful sudo to ROOT executed.","3","5402"
"Jun 2, 2026 @ 09:20:52.077","soc-cloud-victim-03","PAM: Login session opened.","3","5501"
"Jun 2, 2026 @ 09:20:52.076","soc-cloud-victim-03","PAM: Login session opened.","3","5501"
"Jun 2, 2026 @ 09:20:52.076","soc-cloud-victim-03","PAM: Login session closed.","3","5502"
"Jun 2, 2026 @ 09:20:52.063","soc-cloud-victim-03","PAM: Login session closed.","3","5502"
"Jun 2, 2026 @ 09:20:52.063","soc-cloud-victim-03","Successful sudo to ROOT executed.","3","5402"
"Jun 2, 2026 @ 09:20:52.063","soc-cloud-victim-03","PAM: Login session opened.","3","5501"
"Jun 2, 2026 @ 09:20:52.063","soc-cloud-victim-03","PAM: Login session opened.","3","5501"
"Jun 2, 2026 @ 09:20:52.063","soc-cloud-victim-03","Successful sudo to ROOT executed.","3","5402"
"Jun 2, 2026 @ 09:20:52.063","soc-cloud-victim-03","PAM: Login session closed.","3","5502"
"Jun 2, 2026 @ 09:20:52.051","soc-cloud-victim-03","Successful sudo to ROOT executed.","3","5402"
"Jun 2, 2026 @ 09:19:23.967","soc-cloud-victim-03","PAM: Login session closed.","3","5502"
"Jun 2, 2026 @ 09:19:21.987","soc-cloud-victim-03","Prowlarr suspicious DNS request to .xyz/.top TLD","10","100101"
"Jun 2, 2026 @ 09:19:21.962","soc-cloud-victim-03","Prowlarr suspicious DNS request to .xyz/.top TLD","10","100101"
"Jun 2, 2026 @ 09:19:19.997","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:19.997","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:19.997","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:19.997","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:19.997","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:19.997","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:19.972","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:19.972","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:19.972","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:19.963","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:19.963","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:19.963","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:19.962","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:19.962","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:17.978","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:17.978","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:17.978","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:17.952","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:17.952","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:17.946","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:17.946","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:17.946","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:17.946","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:17.927","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:17.927","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:17.927","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:17.917","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:17.917","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:17.917","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:17.902","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.505","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.505","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.505","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.480","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.480","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.473","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.473","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.473","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.473","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.455","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.455","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.448","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.448","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.448","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.448","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.430","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.430","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.421","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.421","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.421","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.421","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.405","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.405","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.396","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.396","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.396","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.396","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.380","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.380","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.371","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.371","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.371","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.371","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.355","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.355","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.346","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.346","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.346","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.330","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.330","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.324","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.323","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.323","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.323","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.305","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.305","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.297","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.297","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.296","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.296","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.281","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.281","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.272","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.272","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.272","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.272","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.256","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.256","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.249","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.249","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.249","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.249","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.230","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.230","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.222","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.222","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.222","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.222","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.206","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.206","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.197","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.197","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.197","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.196","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.181","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.181","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.172","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.172","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.172","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
