timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 2, 2026 @ 09:19:16.172","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.156","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.155","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.149","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.149","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.149","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.149","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.131","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.131","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.124","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.124","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.124","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.124","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.106","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.106","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.097","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.097","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.097","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.097","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.081","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.081","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.074","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.074","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.074","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.074","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.056","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.056","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.056","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.056","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.031","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.031","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.023","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.023","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.023","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:16.023","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.006","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:16.006","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:15.996","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:15.996","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:15.996","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:15.996","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:15.981","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:15.981","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:15.973","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:15.973","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:15.973","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:15.973","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:15.956","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:15.956","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:15.950","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:15.950","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:15.950","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:15.950","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:15.931","soc-cloud-victim-03","New dpkg (Debian Package) installed.","7","2902"
"Jun 2, 2026 @ 09:19:15.931","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:15.925","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:15.925","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:11.965","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:11.956","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:11.956","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:11.939","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:11.939","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:11.929","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:11.929","soc-cloud-victim-03","Dpkg (Debian Package) half configured.","7","2904"
"Jun 2, 2026 @ 09:19:10.071","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:10.071","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:10.046","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:10.046","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:10.038","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:10.038","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:10.021","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:10.021","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:10.011","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:10.011","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:09.996","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:09.996","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:09.987","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:09.987","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:09.970","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:09.970","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:09.960","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:09.960","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:09.945","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:09.945","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:09.935","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:09.934","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:09.934","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:08.048","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:08.048","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:08.023","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:08.023","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:08.014","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:08.014","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:08.014","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.998","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.989","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.989","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.989","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.973","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.964","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.964","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.948","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.948","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.937","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.937","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:07.937","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.078","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.053","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.044","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.044","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.044","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.027","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.027","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.017","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.017","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:06.002","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:05.994","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:05.994","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:05.994","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:05.977","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 2, 2026 @ 09:19:05.969","soc-cloud-victim-03","New dpkg (Debian Package) requested to install.","3","2901"